target_id,kpi_id,target_value,timeframe,created_at,updated_at
1,1,1979.180722769473,quarterly,2022-09-27 16:38:04.907284,2023-09-14 16:38:04.907356
2,2,2246.23840861206,quarterly,2021-04-11 16:38:04.907293,2022-08-28 16:38:04.907357
3,3,4163.272212488154,monthly,2021-03-22 16:38:04.907294,2022-05-18 16:38:04.907358
4,4,4855.374682614004,yearly,2020-10-01 16:38:04.907295,2022-06-29 16:38:04.907359
5,5,1214.4778310416182,weekly,2021-04-06 16:38:04.907296,2022-11-24 16:38:04.907360
6,6,3652.1509155525914,yearly,2021-09-14 16:38:04.907297,2021-09-29 16:38:04.907361
7,7,1238.0593672019024,quarterly,2022-08-02 16:38:04.907298,2022-11-22 16:38:04.907362
8,8,3705.601583068122,weekly,2023-06-10 16:38:04.907299,2021-12-08 16:38:04.907363
9,9,192.63679233768926,weekly,2023-04-07 16:38:04.907301,2022-02-10 16:38:04.907364
10,10,2535.6423285482233,monthly,2023-02-21 16:38:04.907302,2022-08-28 16:38:04.907364
11,11,2849.893476227591,yearly,2023-03-13 16:38:04.907303,2022-11-12 16:38:04.907365
12,12,3497.956928881264,yearly,2021-07-27 16:38:04.907304,2022-12-06 16:38:04.907366
13,13,4585.152809336885,quarterly,2022-12-21 16:38:04.907304,2023-04-03 16:38:04.907367
14,14,3975.4764054133834,daily,2021-04-03 16:38:04.907305,2023-06-18 16:38:04.907368
15,15,2815.4022510435743,yearly,2021-07-07 16:38:04.907306,2022-05-15 16:38:04.907369
16,16,2485.873788508495,weekly,2022-09-21 16:38:04.907307,2023-03-28 16:38:04.907369
17,17,66.13125599947756,weekly,2021-01-29 16:38:04.907308,2022-06-29 16:38:04.907370
18,18,2763.3283557169852,yearly,2021-03-23 16:38:04.907309,2023-04-24 16:38:04.907371
19,19,2811.122195076869,yearly,2020-10-25 16:38:04.907310,2022-06-16 16:38:04.907372
20,20,3710.5092201581188,monthly,2023-07-16 16:38:04.907310,2023-06-12 16:38:04.907373
21,21,826.9902539768336,yearly,2022-08-27 16:38:04.907311,2022-03-26 16:38:04.907374
22,22,2943.307510507602,yearly,2021-03-21 16:38:04.907312,2023-05-25 16:38:04.907374
23,23,257.91298004700815,yearly,2021-01-01 16:38:04.907313,2022-03-28 16:38:04.907375
