session_id,action,table_name,record_name,user_id,timestamp
1,Create,KPI_Values,1,3,2022-02-27 16:51:41.678001
2,Create,KPI_Values,2,10,2022-04-08 16:51:41.678002
3,Create,KPI_Values,3,5,2022-06-05 16:51:41.678003
4,Create,KPI_Values,4,8,2022-07-24 16:51:41.678004
5,Create,KPI_Values,5,9,2023-03-10 16:51:41.678005
6,Create,KPI_Values,6,3,2022-03-10 16:51:41.678007
7,Create,KPI_Values,7,3,2021-01-18 16:51:41.678007
8,Create,KPI_Values,8,3,2023-06-24 16:51:41.678009
9,Create,KPI_Values,9,8,2020-11-14 16:51:41.678010
10,Create,KPI_Values,10,6,2022-01-19 16:51:41.678011
11,Create,KPI_Values,11,5,2022-08-07 16:51:41.678012
12,Create,KPI_Values,12,7,2023-04-28 16:51:41.678014
13,Create,KPI_Values,13,4,2021-12-21 16:51:41.678014
14,Create,KPI_Values,14,2,2021-11-02 16:51:41.678015
15,Create,KPI_Values,15,4,2022-01-30 16:51:41.678016
16,Create,KPI_Values,16,5,2020-11-05 16:51:41.678017
17,Create,KPI_Values,17,2,2022-12-30 16:51:41.678018
18,Create,KPI_Values,18,2,2023-07-18 16:51:41.678019
19,Create,KPI_Values,19,4,2021-04-06 16:51:41.678020
20,Create,KPI_Values,20,7,2021-09-13 16:51:41.678021
21,Create,KPI_Values,21,6,2023-07-14 16:51:41.678022
22,Create,KPI_Values,22,8,2023-08-01 16:51:41.678023
23,Create,KPI_Values,23,2,2021-12-21 16:51:41.678024
24,Create,KPI_Values,24,3,2021-05-26 16:51:41.678025
25,Create,KPI_Values,25,1,2022-10-28 16:51:41.678026
26,Create,KPI_Values,26,1,2023-07-07 16:51:41.678027
27,Create,KPI_Values,27,10,2020-10-17 16:51:41.678027
28,Create,KPI_Values,28,1,2021-05-12 16:51:41.678028
29,Create,KPI_Values,29,4,2022-09-16 16:51:41.678029
30,Create,KPI_Values,30,1,2022-08-20 16:51:41.678030
31,Create,KPI_Values,31,8,2022-06-09 16:51:41.678031
32,Create,KPI_Values,32,9,2023-02-05 16:51:41.678032
33,Create,KPI_Values,33,10,2023-01-05 16:51:41.678033
34,Create,KPI_Values,34,8,2020-11-26 16:51:41.678034
35,Create,KPI_Values,35,6,2023-01-21 16:51:41.678035
36,Create,KPI_Values,36,5,2022-04-01 16:51:41.678036
37,Create,KPI_Values,37,2,2021-03-04 16:51:41.678037
38,Create,KPI_Values,38,10,2022-08-22 16:51:41.678038
39,Create,KPI_Values,39,3,2023-06-07 16:51:41.678038
40,Create,KPI_Values,40,2,2021-09-19 16:51:41.678039
41,Create,KPI_Values,41,4,2021-03-08 16:51:41.678040
42,Create,KPI_Values,42,7,2021-11-12 16:51:41.678041
